crd705,5829,4766,5829,2592664,5829,1978,5852,7935
crd706,6054,6170,6054,2754740,6054,1773,6054,9893
crd707,5956,10887,5956,2272379,5956,2881,5956,3872
crd708,5772,6121,5772,2380377,5772,1654,5772,6258
crd709,5474,3759,5474,2367310,5474,1333,5474,3598
shrd150,164,117,164,796,164,113,741,1258
shrd159,115,138,115,766,115,68,693,349
shrd200,157,136,157,3251,157,109,1260,825
shrd209,196,188,196,3350,196,180,1411,714
shrd300,274,444,274,33285,274,260,3202,2061
shrd309,239,291,239,28517,239,225,2847,1860
str1000,4261,19014,4261,14794935,4261,4001,4709,24605
str1001,4261,23456,4261,13556527,4261,5821,4709,21023
str1002,5923,12684,5923,15275447,5923,5065,6729,13521
str1003,5923,17986,5923,14409917,5923,6099,6729,13267
str1004,7197,8411,7197,13071411,7197,3987,8317,10800
str1005,7197,7407,7197,15272577,7197,4542,8317,10830
str1006,8689,6008,8689,14213760,8689,3784,10164,9088
str1007,8689,8344,8689,13202455,8689,3712,10164,8651
str1008,10136,7976,10136,16586091,10136,3434,11972,16017
str1009,10159,6408,10159,14859411,10159,3816,11997,14142
str300,3457,420,3457,30067,3457,290,3924,709
str301,3448,410,3448,31614,3448,285,3907,632
str302,4629,498,4629,31699,4629,408,5443,798
str303,4546,438,4546,33256,4546,341,5366,1904
str304,5624,377,5624,32074,5624,290,6771,1402
str305,5713,305,5713,32221,5713,262,6886,1084
str306,6773,278,6773,30803,6773,342,8309,1129
str307,6684,308,6684,31473,6684,327,8170,1070
str308,7631,358,7631,31241,7631,512,9452,2863
str309,7775,305,7775,56203,7775,560,9629,2382
str500,3659,1429,3659,426458,3659,792,4118,2173
str501,3779,1319,3779,455583,3779,1822,4268,2486
str502,5036,1125,5036,442461,5036,827,5823,2714
str503,4959,1151,4959,449564,4959,808,5729,1723
str504,6187,978,6187,441897,6187,1084,7301,2235
str505,6163,1930,6163,436956,6163,779,7280,4865
str506,7376,1950,7376,442202,7376,891,8853,2934
str507,7292,916,7292,455101,7292,689,8811,2066
str508,8547,815,8547,450022,8547,822,10392,4091
str509,8529,901,8529,468255,8529,699,10355,3621
str700,3956,6088,3956,2572724,3956,2184,4397,10503
str701,3922,4077,3922,2582930,3922,1822,4378,7842
str702,5297,2863,5297,2485477,5297,1905,6081,6354
str703,5284,2852,5284,2480430,5284,1791,6090,4961
str704,6754,4526,6754,2586118,6754,1854,7910,6599
str705,6606,4037,6606,2526671,6606,1712,7710,7611
str706,7908,2179,7908,2486972,7908,1619,9383,7381
str707,8003,2972,8003,2465964,8003,1673,9501,7118
str708,9070,2087,9070,2807166,9070,1633,10907,8331
str709,8997,3077,8997,2549058,8997,1990,10783,13570
sym300,958,441,958,33374,958,354,1023,589
sym301,1219,1476,1219,37424,1219,231,1291,483
sym302,1252,669,1252,39362,1252,490,1373,890
sym303,1090,893,1090,35256,1090,367,1125,815
sym304,1686,588,1686,35124,1686,246,2084,1802
sym305,903,502,903,42684,903,644,975,945
sym306,976,674,976,36579,976,396,1101,800
sym307,1271,680,1271,34017,1271,256,1280,743
sym308,1506,480,1506,31376,1506,290,1546,492
sym309,1296,450,1296,30213,1296,228,1427,738
sym500,1098,2384,1098,430845,1098,726,1225,3527
sym501,1045,1732,1045,460489,1045,705,1167,2072
sym502,1416,1746,1416,432893,1416,911,1474,3418
sym503,1341,2731,1341,446420,1341,719,1548,2545
sym504,1231,2342,1231,433684,1231,1332,1367,6241
sym505,1268,3873,1268,434674,1268,748,1362,2378
sym506,1221,2268,1221,430182,1221,707,1329,2314
sym507,1093,2270,1093,453381,1093,687,1247,3683
sym508,1266,3267,1266,453802,1266,715,1286,2020
sym509,1160,2240,1160,441947,1160,708,1199,3241
sym700,1177,9474,1177,2268657,1177,1241,1531,9479
sym701,1185,4371,1185,2564653,1185,1665,1466,11898
sym702,1232,6660,1232,2331742,1232,1271,1321,6991
sym703,990,4857,990,2441382,990,1876,1063,4513
sym704,1335,9104,1335,2254508,1335,1376,1525,13070
sym705,1283,3267,1283,2438373,1283,4087,1387,4664
sym706,955,5693,955,2521316,955,1507,1013,4448
sym707,1432,9090,1432,2566048,1432,1707,1688,18188
sym708,1270,3769,1270,2869768,1270,1337,1356,3596
sym709,1044,8103,1044,2614205,1044,1483,1155,11993
