str706,8964,10996,8637,5586,8336,6669,8052,4101
str707,9065,4302,8733,10057,8439,4794,8144,5718
str708,10483,4518,10104,4413,9810,7101,9509,4489
str709,10370,4927,9987,6137,9699,3888,9422,4308
sym300,959,695,958,1173,958,919,958,611
sym301,1219,459,1219,362,1219,486,1219,351
sym302,1252,647,1252,740,1252,706,1252,722
sym303,1090,1995,1090,1031,1090,833,1090,641
sym304,1686,555,1686,513,1686,752,1686,630
sym305,903,459,903,421,903,414,903,438
sym306,976,358,976,333,976,327,976,323
sym307,1271,1858,1271,1902,1271,728,1271,737
sym308,1506,546,1506,485,1506,482,1506,518
sym309,1296,455,1296,443,1296,415,1296,669
sym500,1104,3493,1098,3427,1098,2554,1098,2498
sym501,1045,2783,1045,4140,1045,1869,1045,1868
sym502,1416,1813,1416,1766,1416,1632,1416,1616
sym503,1405,3626,1341,2710,1341,2595,1341,2613
sym504,1231,2435,1231,6482,1231,3258,1231,2334
sym505,1268,2955,1268,2339,1268,2015,1268,1977
sym506,1251,1591,1221,1613,1221,1556,1221,3190
sym507,1093,2122,1093,2101,1093,2105,1093,2152
sym508,1266,2349,1266,2391,1266,2062,1266,1831
sym509,1160,2255,1160,2422,1160,6795,1160,4802
sym700,1205,8964,1177,7773,1177,10430,1177,6381
sym701,1209,6991,1185,7658,1185,16212,1185,7576
sym702,1232,4983,1232,7549,1232,5521,1232,12527
sym703,990,8080,990,7493,990,4946,990,9105
sym704,1335,12627,1335,11188,1335,11791,1335,8015
sym705,1283,3272,1283,3305,1283,3241,1283,3402
sym706,959,5527,955,8636,955,6802,955,5672
sym707,1432,8726,1432,9618,1432,8067,1432,8572
sym708,1271,7910,1270,13480,1270,6650,1270,4753
sym709,1044,10118,1044,8939,1044,14080,1044,14414
